"ano";"mês";"Cod";"Cód índ";"Valor índ"
2020;12;60;28;0,475442604226156
2020;12;60;26;0
2020;12;60;27;0
2020;12;60;9;0,237465807734893
2020;12;60;30;0
2020;12;60;31;0
2020;12;60;32;0
2020;12;60;8;0
2020;12;60;1;0,0646367495471388
2020;12;60;15;0,124135485015074
2020;12;60;24;0,0719163409896387
2020;12;60;25;0
2020;12;60;14;0,0311175400234467
2020;12;70;2;0
2020;12;70;3;0,0839441168078373
2020;12;70;4;0
2020;12;70;5;0,0748487319474736
2020;12;70;6;0,0944892800480489
2020;12;70;11;0,117233294255569
2020;12;70;12;0
2020;12;70;16;0,463444358903704
2020;12;70;10;0,0398022369626561
2020;12;70;22;0
2020;12;70;28;0
2020;12;70;26;0
2020;12;70;27;1,51007208389144
2020;12;70;9;0,116142479815215
2020;12;70;30;0
2020;12;70;31;0
2020;12;70;32;0
2020;12;70;8;0
2020;12;70;1;0,00952916785603039
2020;12;70;15;0,0177336407164391
2020;12;70;24;0,0106023723297225
2020;12;70;25;0
2020;12;70;14;0,0501273400234467
2020;12;80;2;0
2020;12;80;3;0,0396415555366162
2020;12;80;4;0,139862210600211
2020;12;80;5;0
2020;12;80;6;0,0320977747673579
2020;12;80;11;0,117233294255569
2020;12;80;12;0
2020;12;80;16;0,12687601737222
2020;12;80;10;0,0118172833073998
2020;12;80;22;0
2020;12;80;28;0
2020;12;80;26;0
2020;12;80;27;0,110927944555207
2020;12;80;9;0,0658513094350645
2020;12;80;30;0
2020;12;80;31;0,297265160523188
2020;12;80;32;0
2020;12;80;8;0,135107015457789
2020;12;80;1;0,0211400192636524
2020;12;80;15;0,0354672814328782
2020;12;80;24;0,0235208738766112
2020;12;80;25;0
2020;12;80;14;0,0247043000234467
2020;12;90;2;0
2020;12;90;3;0,139392190877711
2020;12;90;4;0
2020;12;90;5;0,119122962235335
2020;12;90;6;0,0784400774377444
2020;12;90;11;0,117233294255569
2020;12;90;12;0
2020;12;90;16;0,0465213214956246
2020;12;90;10;0,0205401487037423
2020;12;90;22;0
2020;12;90;28;0
2020;12;90;26;0,170146363473994
2020;12;90;27;0
2020;12;90;9;0,191020644986388
2020;12;90;30;0
2020;12;90;31;0
2020;12;90;32;0
2020;12;90;8;0
2020;12;90;1;0,0910902898397398
2020;12;90;15;0,106401844298635
2020;12;90;24;0,101349161132898
2020;12;90;25;0
2020;12;90;14;0,0361933300234467
2020;12;100;2;0
2020;12;100;3;0,214396038550727
2020;12;100;4;0,170208488683592
2020;12;100;5;0,0572095963746204
2020;12;100;6;0,0394892190829385
2020;12;100;11;0,117233294255569
2020;12;100;12;0
2020;12;100;16;0,0538159957567761
2020;12;100;10;0,0124745330676543
2020;12;100;22;0,0518442978922953
2020;12;100;28;0
2020;12;100;26;0
2020;12;100;27;0
2020;12;100;9;0,0931224146544745
2020;12;100;30;0
2020;12;100;31;0,297265160523188
2020;12;100;32;0,436278861877109
2020;12;100;8;0,174808391888606
2020;12;100;1;0,064052167179911
2020;12;100;15;0,106401844298635
2020;12;100;24;0,0712659211409824
2020;12;100;25;0
2020;12;100;14;0,0318622100234467
2020;12;110;2;0
2020;12;110;3;0,230589412038923
2020;12;110;4;0,161997495982424
2020;12;110;5;0,0573271906117728
2020;12;110;6;0,144903093622075
2020;12;110;11;0,117233294255569
2020;12;110;12;0,011432
2020;12;110;16;0,0850142753283684
2020;12;110;10;0,101852478900435
2020;12;110;22;0
2020;12;110;28;0
2020;12;110;26;0,11021912219517
2020;12;110;27;0
2020;12;110;9;0,257702069013279
2020;12;110;30;0,0334955550429347
2020;12;110;31;0,297265160523188
2020;12;110;32;0
2020;12;110;8;0,150330745224803
2020;12;110;1;0,119734825833902
2020;12;110;15;0,159602766447952
2020;12;110;24;0,133219733717056
2020;12;110;25;0
2020;12;110;14;0,107245790023447
2020;12;120;2;0
2020;12;120;3;0,110686530697205
2020;12;120;4;0,139969478529507
2020;12;120;5;0,127589747310305
2020;12;120;6;0,0910487533936162
2020;12;120;11;0,117233294255569
2020;12;120;12;0
2020;12;120;16;0,108050507011082
2020;12;120;10;0,0120941642552403
2020;12;120;22;0
2020;12;120;28;0,316961736150771
2020;12;120;26;0
2020;12;120;27;0
2020;12;120;9;0,0554588620317884
2020;12;120;30;0,30417740324949
2020;12;120;31;0,326991676575507
2020;12;120;32;0
2020;12;120;8;0,286866346780461
2020;12;120;1;0,0286682995050251
2020;12;120;15;0,0354672814328782
2020;12;120;24;0,0318970124154044
2020;12;120;25;0
2020;12;120;14;0,0299873700234467
2020;12;130;2;0
2020;12;130;3;0,0276013341417409
2020;12;130;4;0
2020;12;130;5;0,170041266922304
2020;12;130;6;0,0492692993891578
2020;12;130;11;0,117233294255569
2020;12;130;12;0
2020;12;130;16;0,272964949031996
2020;12;130;10;0,00258617326157468
2020;12;130;22;0
2020;12;130;28;0,114220445459737
2020;12;130;26;0
2020;12;130;27;0
2020;12;130;9;0,0291154166462755
2020;12;130;30;0,307559999513512
2020;12;130;31;0
2020;12;130;32;0
2020;12;130;8;0,139786019778891
2020;12;130;1;0,0127514999290422
2020;12;130;15;0,0177336407164391
2020;12;130;24;0,0141876134467059
2020;12;130;25;0
2020;12;130;14;0,0170816700234467
2020;12;140;2;0
2020;12;140;3;0,00989462497079203
2020;12;140;4;0,133936497924841
2020;12;140;5;0,0881956778642658
2020;12;140;6;0,0778585171256451
2020;12;140;11;0,117233294255569
2020;12;140;12;0
2020;12;140;16;0,215356737407344
2020;12;140;10;0,0151994645199879
2020;12;140;22;0
2020;12;140;28;0
2020;12;140;26;0
2020;12;140;27;0
2020;12;140;9;0,0171679530001125
2020;12;140;30;0
2020;12;140;31;0
2020;12;140;32;0
2020;12;140;8;0
2020;12;140;1;0,014272364624269
2020;12;140;15;0
2020;12;140;24;0,0158797626464621
2020;12;140;25;0
2020;12;140;14;0,0263544000234467
2020;12;150;2;0
2020;12;150;3;0,0869111409335949
2020;12;150;4;0,167520363839013
2020;12;150;5;0,0502891755182044
2020;12;150;6;0,189139837147332
2020;12;150;11;0,117233294255569
2020;12;150;12;0
2020;12;150;16;0,0880580322489687
2020;12;150;10;0,103055766007397
2020;12;150;22;0,315746175357937
2020;12;150;28;0,456881781838949
2020;12;150;26;0,0680350445106647
2020;12;150;27;0,645888715774771
2020;12;150;9;0,0629712317815116
2020;12;150;30;0,0699026699742177
2020;12;150;31;0,297265160523188
2020;12;150;32;0
2020;12;150;8;0,166877778961071
2020;12;150;1;0,16787019343783
2020;12;150;15;0,124135485015074
2020;12;150;24;0,18677625588934
2020;12;150;25;0
2020;12;150;14;0,111363440023447
2020;12;160;2;0,712975652743962
2020;12;160;3;0,145084241756534
2020;12;160;4;0,15197792184241
2020;12;160;5;0,0493895796039889
2020;12;160;6;0,333740983790075
2020;12;160;11;0,117233294255569
2020;12;160;12;0,003311
2020;12;160;16;0,0880420177825264
2020;12;160;10;0,371146274863347
2020;12;160;22;0
2020;12;160;28;0
2020;12;160;26;0,830286052698371
2020;12;160;27;0,791384536967759
2020;12;160;9;0,157930617771525
2020;12;160;30;0,0116268632096707
2020;12;160;31;0,594530321046376
2020;12;160;32;0
2020;12;160;8;0,275498440244373
2020;12;160;1;0,377749521379128
2020;12;160;15;0,336939173612343
2020;12;160;24;0,420292845455696
2020;12;160;25;0
2020;12;160;14;0,349660470023447
2020;12;163;2;0
2020;12;163;3;0,0222433078055077
2020;12;163;4;0,169714910395529
2020;12;163;5;0,0801404726193295
2020;12;163;6;0,0663787047425128
2020;12;163;11;0,117233294255569
2020;12;163;12;0
2020;12;163;16;0,111501250011032
2020;12;163;10;0,0129151324933787
2020;12;163;22;0
2020;12;163;28;0,422615648201028
2020;12;163;26;0
2020;12;163;27;0
2020;12;163;9;0,0706351663976318
2020;12;163;30;0
2020;12;163;31;0,297265160523188
2020;12;163;32;0
2020;12;163;8;0,135107015457789
2020;12;163;1;0,0324657085409195
2020;12;163;15;0,0354672814328782
2020;12;163;24;0,0361220974485457
2020;12;163;25;0
2020;12;163;14;0,0282703700234467
2020;12;170;2;0
2020;12;170;3;0,390501957596846
2020;12;170;4;0,376764160876654
2020;12;170;5;0,0714384990700553
2020;12;170;6;0,126692888278617
2020;12;170;11;0,117233294255569
2020;12;170;12;0,000767
2020;12;170;16;0,0403802663422118
2020;12;170;10;0,0338026988383595
2020;12;170;22;0,277042966861953
2020;12;170;28;0
2020;12;170;26;0,316321830436458
2020;12;170;27;0
2020;12;170;9;0,285713504735957
2020;12;170;30;0,0101396231333854
2020;12;170;31;0,297265160523188
2020;12;170;32;0,000939379524092193
2020;12;170;8;0,139800957708605
2020;12;170;1;0,197912023870732
2020;12;170;15;0,212803688597269
2020;12;170;24;0,220201490550774
2020;12;170;25;0
2020;12;170;14;0,0683419000234467
2020;12;180;2;0
2020;12;180;3;0,0284244660502653
2020;12;180;4;0,249176993424622
2020;12;180;5;0,038806098260277
2020;12;180;6;0,0946505593396629
2020;12;180;11;0,117233294255569
2020;12;180;12;0
2020;12;180;16;0,0587017856302838
2020;12;180;10;0,00828827656574171
2020;12;180;22;0
2020;12;180;28;0
2020;12;180;26;0
2020;12;180;27;0,00101035465267539
2020;12;180;9;0,0170427558522527
2020;12;180;30;0
2020;12;180;31;0
2020;12;180;32;0
2020;12;180;8;0
2020;12;180;1;0,035222275801018
2020;12;180;15;0,0532009221493173
2020;12;180;24;0,0391891178731038
2020;12;180;25;0
2020;12;180;14;0,0239836600234467
2020;12;190;2;0
2020;12;190;3;0,07743234243419
2020;12;190;4;0
2020;12;190;5;0,190455626491953
2020;12;190;6;0,190789018003529
2020;12;190;11;0,117233294255569
2020;12;190;12;0,001369
2020;12;190;16;0,110510873020316
2020;12;190;10;0,0701024617620456
2020;12;190;22;0
2020;12;190;28;0
2020;12;190;26;0
2020;12;190;27;0
2020;12;190;9;0,0937498706876725
2020;12;190;30;0
2020;12;190;31;0,297265160523188
2020;12;190;32;0
2020;12;190;8;0,135107015457789
2020;12;190;1;0,0938421043976658
2020;12;190;15;0,106401844298635
2020;12;190;24;0,104410893591207
2020;12;190;25;0
2020;12;190;14;0,0767778400234467
2020;12;200;2;0
2020;12;200;3;0,0617553436215279
2020;12;200;4;0,206262723413562
2020;12;200;5;0,183023670703924
2020;12;200;6;0,11361881650856
2020;12;200;11;0,117233294255569
2020;12;200;12;0
2020;12;200;16;0,0884262232407855
2020;12;200;10;0,0300179489686526
2020;12;200;22;0
2020;12;200;28;0
2020;12;200;26;0
2020;12;200;27;0,0969365501574864
2020;12;200;9;0,143245812763284
2020;12;200;30;0,00143216411036175
2020;12;200;31;0,297265160523188
2020;12;200;32;0
2020;12;200;8;0,135757934045948
2020;12;200;1;0,0685054491156219
2020;12;200;15;0,0886682035821954
2020;12;200;24;0,0762207455165185
2020;12;200;25;0
2020;12;200;14;0,0476373600234467
2020;12;205;2;0
2020;12;205;3;0,0178225952367453
2020;12;205;4;0,178824579198762
2020;12;205;5;0,106716770215762
2020;12;205;6;0,0811282345351654
2020;12;205;11;0,117233294255569
2020;12;205;12;0
2020;12;205;16;0,122831421291793
2020;12;205;10;0,00750604565598361
2020;12;205;22;0
2020;12;205;28;0,285551113649343
