"IBGE1";"IBGE2";"SEF";"Municípios";"População bruto";"População dos 50 + Populosos";"Área Geográfica";"Educação";"Patrimônio Cultural";"Receita Própria";"Cota Mínima";"Mineradores";"Saúde per capita";"VAF";"Esportes";"Turismo";"Penitenciárias";"Recursos Hídricos";"Produção de Alimentos";"Unidades de Conservação (IC i)";"Saneamento";"Mata Seca";"Número Equipes de Saúde";"Mês";"Ano";"Meio Ambiente";"População";"PSF";"ICMS Solidário";"Índice Mínimo per capita";"Índice de participação a acertar";"Índice de participação"
312780;2780;278;"GRÃO MOGOL";15779;0;0,662696171463524;0,187295640968182;0,125603580644801;0,0689927619618979;0,117233294255569;0;0,0781682217649421;0,0536283219312677;0,189015669398993;0;0,051819438046983;0;0,252155626766614;0,321347042889932;0;0,049191295596169;6;"Julho";2019;0,150528638892725;0,0749928875811987;0,109150445697653;0,083478384896671;0;0,07138105;0,07138105
312790;2790;279;"GRUPIARA";1389;0;0,0329252763409752;0;0,146963397881155;0,0120435470660339;0,117233294255569;0;0,398350333248751;0,00438285919449823;0;0;0;1,40777262522229;0,0567323585241061;0;0;0;1;"Julho";2019;0;0,00660150331771881;0,0181917409496089;0,00734846800313556;0;0,02049733;0,02049733
312800;2800;280;"GUANHÃES";34057;0;0,183512402015988;0,170501870162334;0,22151226452389;0,24681713392996;0,117233294255569;0,00013;0,0668166799741815;0,0572048425816275;0;0,399771559109081;0,228546047622181;0,0222830093269485;0,0962243589944805;0,372527245095256;0;0;9;"Julho";2019;0,169313632895794;0,161862777891684;0,16372566854648;0,180177663630517;0;0,07914508;0,07914508
312810;2810;281;"GUAPÉ";14233;0;0,159401283502939;0,144773914458595;0,187327619783701;0,110645282890615;0,117233294255569;0;0,100366964692279;0,0518446142711807;0;0;0;1,08805475053265;0,159806654455901;0;0,211774671749258;0;5;"Julho";2019;0,0962515883100376;0,0676452100223843;0,0909587047480444;0,0752993125188109;0;0,06603036;0,06603036
312820;2820;282;"GUARACIABA";10333;0;0,0594188760302506;0;0,174909668340412;0,0544060018725694;0,117233294255569;0;0,0613036605425176;0,00670228755824604;0;0;0;0;0,157280108546572;0,861393666691061;0;0;4;"Julho";2019;0,391503421511087;0,0491096715493077;0,0727669637984355;0,0546664649938083;0;0,02566074;0,02566074
312825;2825;797;"GUARACIAMA";4954;0;0,0667674159672219;0,158720598796305;0,0264587033592797;0,0341174644438954;0,117233294255569;0;0,0971892918072153;0,00189765840573585;0;0;0;0;0,129630022219895;0;0,211774671749258;0;2;"Julho";2019;0,0962515883100376;0,0235448865629798;0,0363834818992178;0,0262090068304777;0;0,01803754;0,01803754
312830;2830;283;"GUARANÉSIA";19025;0;0,0508245608859681;0,150820343195853;0,123170555878119;0,197037117790938;0,117233294255569;0;0,113222626250158;0,0555398211254264;0,642293246110103;0;0,390937121048327;0;0,0495265205887293;0;0,211774671749258;0;6;"Julho";2019;0,0962515883100376;0,0904201588334055;0,109150445697653;0,100651262605942;0;0,06802206;0,06802206
312840;2840;284;"GUARANI";8903;0;0,0449297093920016;0,172510694884245;0,144711468239687;0,111199060026332;0,117233294255569;0,006155;0,0634365257558941;0,0202904568284478;0,351569145082127;0;0;0;0,059830933223636;0;0,211774671749258;0;3;"Julho";2019;0,0962515883100376;0,042313307442513;0,0545752228488266;0,047101087567974;0;0,0354069;0,0354069
312850;2850;285;"GUARARÁ";3818;0;0,0151214273795794;0,170403889817427;0,259295292920942;0,0929166877755201;0,117233294255569;0;0,144516674725468;0,0052338558545361;0;0;0;0;0,0202799701432318;0;0,211774671749258;0;2;"Julho";2019;0,0962515883100376;0,0181458168949247;0,0363834818992178;0,0201990286796052;0;0,02268763;0,02268763
312860;2860;286;"GUARDA-MOR";6591;0;0,351591506798857;0;0,196323578925856;0,078073115195633;0,117233294255569;0;0,216864688726529;0,171250899433973;0;0,114220445459737;0;0;0,325582941128779;0,0187045594270389;0,423549343498515;0;2;"Julho";2019;0,201004398879664;0,0313250600194994;0,0363834818992178;0,0348695123172545;0;0,1522515;0,1522515
312870;2870;287;"GUAXUPÉ";51750;0;0,0486363592906362;0,139726220325778;0,275170514936509;0,363684510469823;0,117233294255569;0;0,0952975918787023;0,253128102761918;0,583428366211559;0,369788692175899;0;0;0,0782714543047851;0;0;0;10;"Julho";2019;0;0,245952337431208;0,181917409496089;0,273782015235612;0;0,23171988;0,23171988
312880;2880;288;"GUIDOVAL";7105;0;0,0270508753292081;0;0,100366681409534;0,0692568144073048;0,117233294255569;0;0,0925943391585787;0,0104975969204075;0,931217197905706;0;0;0;0,0617521627226884;0,255046541428411;0,211774671749258;0;3;"Julho";2019;0,212170241389251;0,0337679489362074;0,0545752228488266;0,0375888158115753;0;0,0247333;0,0247333
312890;2890;289;"GUIMARÂNIA";7971;0;0,0628289939369945;0,147634133454415;0,101248638188177;0,0887409125736688;0,117233294255569;0,012901;0,147044822679979;0,0350509956849291;0;0;0;0;0,104949642568221;0;0,232952138924183;0;2;"Julho";2019;0,105876747141041;0,0378837890176649;0,0363834818992178;0,0421703660568708;0;0,04583404;0,04583404
312900;2900;290;"GUIRICEMA";8442;0;0,0501411739391394;0;0;0,117526167112745;0,117233294255569;0;0,0643397063597577;0,0145342252088367;0;0;0;0;0,0652939739307445;0,0159157904871043;0,211774671749258;0;3;"Julho";2019;0,103485315086426;0,0401223117409519;0,0545752228488266;0,0446621791810442;0;0,02599565;0,02599565
312910;2910;291;"GURINHATÃ";5704;0;0,315106142348342;0;0,0758482829632686;0,122811644891909;0,117233294255569;0;0,124524659631167;0,0332259438799375;0,0124210297033624;0;0;1,35420947172018;0,208241209137971;0,050220909384041;0,211774671749258;0;3;"Julho";2019;0,119076991625084;0,0271094131924176;0,0545752228488266;0,0301768621237475;0;0,04817273;0,04817273
312920;2920;292;"HELIODORA";6524;0;0,0261510541124361;0,150466556347264;0,163173763472607;0,0602932622789639;0,117233294255569;0;0,116426738594222;0,0174405593740705;0;0;0;0;0,0571920766216935;0;0;0;3;"Julho";2019;0;0,0310066289739363;0,0545752228488266;0,0345150505777224;0;0,03012444;0,03012444
312930;2930;293;"IAPU";10867;0;0,058411689781932;0,186507454044687;0,0933286663159661;0,0750290011726109;0,117233294255569;0;0,0543379644609481;0,0140671898295317;0;0;0;0,00211050024565534;0,0269268986227585;0;0;0;5;"Julho";2019;0;0,0516476145094674;0,0909587047480444;0,0574915779626163;0;0,02917348;0,02917348
312940;2940;294;"IBERTIOGA";5033;0;0,0591973291397575;0,141134920989358;0,0105834813437119;0,0542894062458168;0,117233294255569;0;0,151511048328881;0,0089682194071586;0;0;0;0;0,0546048487058661;0;0,423549343498515;0;2;"Julho";2019;0,192503176620075;0,0239203500346139;0,0363834818992178;0,0266269542547021;0;0,02401674;0,02401674
312950;2950;295;"IBIÁ";25035;0;0,46039829734057;0,139603218996456;0,208692493572252;0,195912205503851;0,117233294255569;0,000161;0,0990209970893948;0,263284308756375;0;0;0;0;0,324205022523376;0,0135883942360526;0,211774671749258;0;6;"Julho";2019;0,102427513490323;0,118983898890634;0,109150445697653;0;0;0,22677942;0,22677942
312960;2960;296;"IBIAÍ";8351;0;0,148823271585318;0,230855155672811;0,119064165116759;0,0570367892248033;0,117233294255569;0;0,0514394846450335;0,00730228998865366;0,0288023877179418;0,456881781838949;0;0;0,119502903668927;0;0;0,677471682749553;3;"Julho";2019;0,0616499231302093;0,0396898158432468;0,0545752228488266;0,0441807460721275;0;0,02662394;0,02662394
312965;2965;798;"IBIRACATU";5975;0;0,0598347025016377;0,176683588719958;0;0,0237989654737673;0,117233294255569;0;0,0760606095120543;0,00106657994501135;0;0;0;0;0,156418471096415;0;0;1,03101378553609;3;"Julho";2019;0,093822254483784;0,0283973954811878;0,0545752228488266;0,0316105805030489;0;0,01780996;0,01780996
312970;2970;297;"IBIRACI";13687;0;0,0926866979480652;0;0,143500247597018;0,335965200597617;0,117233294255569;0;0,167501303005173;0,161198503072179;0;0;0,0638048863027477;4,08377881230835;0,105469198942586;0;0;0;4;"Julho";2019;0;0,0650502346361536;0,0727669637984355;0;0;0,1515789;0,1515789
312980;2980;298;"IBIRITÉ";179015;1,60583455764221;0,0124782025553116;0,293589588543055;0,0917235049788364;0,249763272443155;0,117233294255569;0,076645;0,0798350541642713;0,532401472294249;0;0;0,232188683856776;0;0,0174541824689693;0,923251644279669;0,211774671749258;0;44;"Julho";2019;0,515869460635147;0,850804979425077;0,800436601782791;0,947074153766243;0;0,52659722;0,52659722
312990;2990;299;"IBITIÚRA DE MINAS";3483;0;0,0117419851961345;0;0;0,0408069762052298;0,117233294255569;0;0,237303357547933;0,00766509664353983;0,0988281928571879;0,145631067961165;0;0;0,0182277385930211;0;0,232952138924183;0;1;"Julho";2019;0,105876747141041;0,0165536616671091;0,0181917409496089;0,0184267199819447;0;0,01844555;0,01844555
313000;3000;300;"IBITURUNA";2982;0;0,0261732088014854;0;0,111757858771127;0,0357301679211063;0,117233294255569;0,07024;0,189377525084612;0,00353805611731467;0;0,158480868075386;0;0,17437934257288;0,0415539312943914;0;0;0;1;"Julho";2019;0;0,0141725578786447;0,0181917409496089;0,0157761926460405;0;0,01528804;0,01528804
313005;3005;736;"ICARAÍ DE MINAS";11879;0;0,106886149421823;0,175904782591971;0;0,032732053366476;0,117233294255569;0;0,0674731969579023;0,0033196485601806;0;0;0;0;0,281038428068046;0;0;0,82319064271593;5;"Julho";2019;0,0749103484871496;0,0564573491081222;0,0909587047480444;0,0628455373716683;0;0,0234913;0,0234913
313010;3010;301;"IGARAPÉ";42246;0;0,0187599090042161;0,235771205009351;0,281344212387008;0,291191675355002;0,117233294255569;0,544734;0,0792423642720206;0,158823402840588;0;0;0;0;0,0290606864308792;0,543654700363939;0,211774671749258;0;11;"Julho";2019;0,343342649625448;0,200782655982972;0,200109150445698;0,223501352959298;0;0,16040394;0,16040394
313020;3020;302;"IGARATINGA";10709;0;0,0368568815438029;0,161895777929605;0;0,127621793003527;0,117233294255569;0,039192;0,154951593407696;0,0548694546012988;0;0;0;0;0,0359478765628596;0,00413159351627071;0;0;5;"Julho";2019;0,00187780925314504;0,0508966875661992;0,0909587047480444;0,0566556831141675;0;0,06019413;0,06019413
313030;3030;303;"IGUATAMA";7971;0;0,107019077556119;0;0;0,0943207849149071;0,117233294255569;0;0,0953067195783927;0,0564900735710427;0,128530655191315;0;0;0;0,09453974131763;0;0;0;4;"Julho";2019;0;0,0378837890176649;0,0727669637984355;0,0421703660568708;0;0,05720105;0,05720105
313040;3040;304;"IJACI";6488;0;0,0180526631614881;0;0,0105834813437119;0,118093892053587;0,117233294255569;0,024577;0,20457085344626;0,088528952119395;0;0;0;0,352275560094264;0,0242532035084164;0,0181885903974;0,211774671749258;0;2;"Julho";2019;0,104518302645656;0,0308355316957233;0,0363834818992178;0,0343245935236454;0;0,08231321;0,08231321
313050;3050;305;"ILICÍNEA";12303;0;0,064033868179907;0,189989029582554;0,230014327870005;0,0805417056992464;0,117233294255569;0;0,0955070642159308;0,0405971453870119;0,20305683341149;0;0;0,000105593870365823;0,106476848414297;0;0;0;5;"Julho";2019;0;0,0584724948292977;0,0909587047480444;0,0650886982307968;0;0,05257242;0,05257242
313055;3055;799;"IMBÉ DE MINAS";6865;0;0,0328519954464275;0,186547730380697;0,0273406601379224;0,0300635576016664;0,117233294255569;0;0,0879832766901016;0,00754613174151315;0;0;0;0;0,0425188524930229;0;0;0;3;"Julho";2019;0;0,0326273004147873;0,0545752228488266;0,036319102117729;0;0,02124684;0,02124684
