"Mês";"Ano";"IBGE2";"População";"População dos 50 + Populosos";"Área Geográfica";"Educação";"Patrimônio Cultural";"Receita Própria";"Cota Mínima";"Mineradores";"Saúde per capita";"VAF";"Esportes";"Turismo";"Penitenciárias";"Recursos Hídricos";"Produção de Alimentos";"Unidades de Conservação (IC i)";"Saneamento";"Mata Seca";"Meio Ambiente";"PSF";"ICMS Solidário";"Índice Mínimo per capita";"Índice de participação";"Compensações";"Valor Líquido + Compensações"
"Novembro";"2021";560;251052,87;349737,03;18514,59;36370,75;7858,35;102061,52;92368,63;16,93;5765,59;3221027,96;2402,4;5135,75;9335,25;0;21300,82;0;25581,31;0;25578,75;60723,32;431347,94;0;4640598,5;-406557,47;4234041,03
"Novembro";"2021";570;9109,94;0;9374,11;0;24916,48;59999,35;92368,63;0;18799;69057,41;0;0;0;0;10115,35;0;0;0;0;7286,79;15652,29;0;316679,4;29270,65;345950,05
"Novembro";"2021";590;37960,2;0;2009,97;47767,77;24350,44;39602,48;92368,63;1015,8;9358;884049,02;19836,53;5777,71;0;0;4385,96;0;28139,44;0;28136,63;17002,53;65221,54;0;1278843,31;369687,87;1648531,18
"Novembro";"2021";600;18641,31;0;2649,37;0;18147,48;44416,05;92368,63;681,62;19685,21;916378,78;0;0;0;0;1537,08;0;0;0;0;9715,73;0;0;1124221,27;539874,49;1664095,76
"Novembro";"2021";610;6221,64;0;9572,84;0;30580,45;16722,55;92368,63;123,88;37933,23;143230,97;0;0;0;0;6174,52;0;0;0;0;4857,86;10689,75;0;358476,37;-39593,09;318883,28
"Novembro";"2021";620;4580517,95;6381033,31;8062,12;0;9996,49;277424,4;92368,63;885,54;15723,08;82958659,34;10415,98;0;37550,17;0;634,41;17968,61;0;0;17966,81;1445215,06;7870043,23;0;103706496,62;-11064760,37;92641736,25
"Novembro";"2021";630;49035,63;0;8186,14;46317,81;3310,8;69805,54;92368,63;0,58;14928,25;4553295,05;88,97;2567,87;0;0;15073,48;0;25581,31;0;25578,75;26718,26;0;0;4907275,84;-588290,75;4318985,09
"Novembro";"2021";640;14021,86;0;8963,96;0;47953,28;25778,53;92368,63;836,7;31157,07;2026934,09;320,69;641,96;0;0;6634,39;0;25581,31;0;25578,75;9715,73;24091,73;0;2314997,45;559027,48;2874024,93
"Novembro";"2021";650;21565,94;0;14278,33;0;5767,2;12572,54;92368,63;0;10459,53;59972,42;250,25;0;0;1085,9;23298,89;0;0;24525,76;24550,29;12144,66;37053,65;0;315368,25;59317,24;374685,49
"Novembro";"2021";660;8368,79;0;10433,91;0;9063,77;16118,84;92368,63;0;15830,38;30455,28;602,45;3209,84;0;0;18083,01;15635,88;0;0;15634,32;4857,86;14378,88;0;239406,07;6603,44;246009,51
