"Mês";"Ano";"IBGE2";"População";"População dos 50 + Populosos";"Área Geográfica";"Educação";"Patrimônio Cultural";"Receita Própria";"Cota Mínima";"Mineradores";"Saúde per capita";"VAF";"Esportes";"Turismo";"Penitenciárias";"Recursos Hídricos";"Produção de Alimentos";"Unidades de Conservação (IC i)";"Saneamento";"Mata Seca";"Meio Ambiente";"PSF";"ICMS Solidário";"Índice Mínimo per capita";"Índice de participação";"Compensações";"Valor Líquido + Compensações"
"Novembro";"2021";4690;28701,31;0;13495,88;48872,19;10039,22;25134,67;92368,64;77,47;15218,01;538653,07;0;0;0;0;8809,46;0;0;0;0;7286,8;49313,32;0;837970,04;60724,5;898694,54
"Novembro";"2021";4700;170503,93;237525,82;200902,83;34459,26;46244,48;88476,41;92368,64;2269,25;23981,71;13174567,8;0;3209,84;9031,06;0;114103,19;3990,19;25581,31;0;29568,54;46149,72;0;0;14273362,52;-612776,32;13660586,2
"Novembro";"2021";4710;172222,38;239919,75;13270,54;41661,72;35705,44;109786,27;92368,64;372,84;16623,79;4653689,64;8797,7;4493,78;17415,68;0;10004,61;329,93;51162,63;0;51487,41;63152,25;295904,87;0;5826877,29;-2144,6;5824732,69
"Novembro";"2021";4720;39246,31;0;10391,68;40308,7;35407,48;48859,13;92368,64;0,2;17535,72;777652,17;0;5135,75;0;3171,8;19274,01;1400,94;51162,63;0;52558,31;12144,66;67431,28;0;1221485,87;-2698,27;1218787,6
"Novembro";"2021";4730;38548,76;0;8072,63;42848,67;20182,39;44766,21;92368,64;7,19;9745,38;690792,96;0;5135,75;0;0;13223,8;17394,62;0;0;17392,88;12144,66;66232,78;0;1061462,76;-117935,64;943527,12
"Novembro";"2021";4740;44868,5;0;15235,6;52541,66;12183,76;51354,34;92368,64;37,71;11768,05;785229,62;0;0;0;0;8011,8;408,59;0;0;408,55;9715,73;77091,07;0;1160815;171317,06;1332132,06
"Novembro";"2021";4750;2966,41;0;2307,34;0;0;16140,12;92368,64;0;45464,09;11757,33;0;0;0;0;4470,72;0;0;0;0;2428,93;5096,75;0;183000,35;4398,9;187399,25
"Novembro";"2021";4760;29778,51;0;6724,5;0;31314,67;54974,68;92368,64;144,71;15824,91;460236,29;0;5135,75;0;0;8144,75;889,34;25581,31;0;26468,01;14573,6;51164,13;0;796853,14;-49274,49;747578,65
"Novembro";"2021";4770;14635,85;0;10501,05;41212,08;13741,62;24857,19;92368,64;0,05;16369;478078,25;0;3851,81;0;0;10668,52;0;25581,31;0;25578,76;9715,73;25146,67;0;766725,24;-69467,98;697257,26
"Novembro";"2021";4780;3689,39;0;6027,98;0;12847,35;19173,51;92368,64;0;41827,04;31485,78;0;0;0;0;4757,18;656,88;0;0;656,82;2428,93;6338,95;0;221601,53;772,3;222373,83
"Novembro";"2021";4790;209514,1;291870,14;32653,78;45702,71;19994,85;113229,03;92368,64;1,43;10514,68;3756608,16;1067,74;0;10076,76;24654,5;29184,81;338,72;25581,31;0;25917,45;55865,46;359977,85;0;5079202,08;114513,73;5193715,81
"Novembro";"2021";4795;10902,86;0;10824,54;51178,99;10359,62;7065,11;92368,64;0;9303,49;19844,94;0;0;0;0;20567,49;0;0;1719,73;1721,45;7286,8;18732,82;0;260156,72;12463,62;272620,34
"Novembro";"2021";4800;278993,06;388659,97;77819,33;0;40840,39;103188,08;92368,64;25,4;15353,9;7565569,3;0;3851,81;7300,9;0;75983,47;557,46;0;0;557,4;97157,32;479353,52;0;9227022,51;-996279,09;8230743,42
"Novembro";"2021";4810;166120,62;231419,51;70189,56;37357,42;18796,83;73360,53;92368,64;145,61;14792,19;5864026,12;2863,98;0;27245,27;35735,47;110747,12;189,88;25581,31;0;25768,61;48578,66;285421,11;0;7104937,29;-798199,36;6306737,93
"Novembro";"2021";4820;10381,52;0;2655,23;37651,33;7796,41;12306,39;92368,64;15,05;16217,4;102819,2;532,01;0;0;0;10,48;0;25581,31;0;25578,76;7286,8;17837,06;0;333456,33;-35675,75;297780,58
"Novembro";"2021";4830;17409,7;0;6552,39;51151,62;961,2;16056,83;92368,64;0;8595,53;139337,28;0;0;0;0;13850,66;0;0;0;0;12144,66;29912,58;0;388341,07;-20227,56;368113,51
