"IBGE1";"IBGE2";"SEF";"Municípios";"População bruto";"População dos 50 + Populosos";"Área Geográfica";"Educação";"Patrimônio Cultural";"Receita Própria";"Cota Mínima";"Mineradores";"Saúde per capita";"VAF";"Esportes";"Turismo";"Penitenciárias";"Recursos Hídricos";"Produção de Alimentos";"Unidades de Conservação (IC i)";"Saneamento";"Mata Seca";"Número Equipes de Saúde";"Mês";"Ano";"Meio Ambiente";"População";"PSF";"ICMS Solidário";"Índice Mínimo per capita";"Índice de participação"
310800;800;80;"BOM SUCESSO";17598;0;0,12014999133496;0,164671415431957;0,14030803443528;0,156220236218036;0,117233294255569;0;0,0715044147779174;0,0370558908860314;0;0;0,103286362909973;0,208962126985642;0,143851351827826;0;0,594530321046376;0;7;"Dezembro";2020;0,270214030915578;0,0836380528331285;0,124135485015074;0,0930576300540927;0;0,0562097100234467
310810;810;81;"BONFIM";6876;0;0,0514039912149501;0;0,146941642947282;0,154924883479344;0,117233294255569;0;0,104519788974225;0,0126534441940009;0;0;0;0;0,0736796734078819;0,0856048369211296;0,297265160523188;0;3;"Dezembro";2020;0,174014413838442;0,0326795801386858;0,0532009221493173;0,0363600559297614;0;0,0274807600234467
310820;820;82;"BONFINÓPOLIS DE MINAS";5544;0;0,315539010888229;0;0,163544185319637;0,0511245003131001;0,117233294255569;0,000214;0,140346663666859;0,0722226774386136;0,0151212535519195;0;0;0;0,223678530231674;0;0;0;3;"Dezembro";2020;0;0,0263489808448042;0,0532009221493173;0,0293164848857762;0;0,0724895700234467
310825;825;773;"BONITO DE MINAS";11088;0;0,671953423072436;0,175930731983991;0,0105834813437119;0,0388859842974099;0,117233294255569;0;0,0658610816410913;0,00379297976260655;0;0;0;0;0,197984558302152;0,413568017236568;0;0,00146580918496705;5;"Dezembro";2020;0,188100052469852;0,0526979616896084;0,0886682035821954;0,0586329697715525;0;0,0298198700234467
310830;830;83;"BORDA DA MATA";19202;0;0,0511262054984087;0,203549412337106;0,0105834813437119;0,146481620857598;0,117233294255569;0;0,104156695593579;0,0364620523978067;0,116649670257664;0,422615648201028;0;0;0,0332253207812641;0;0,297265160523188;0;6;"Dezembro";2020;0,135107015457789;0,0912613871179528;0,106401844298635;0,101539527917871;0;0,0523966800234467
310840;840;84;"BOTELHOS";14995;0;0,0582412690969373;0,168005497942841;0,148215776506827;0,155276313613343;0,117233294255569;0,00083;0,107275007839604;0,0399836290211969;0;0;0,101406292595343;0;0,0519126088099105;0;0;0;4;"Dezembro";2020;0;0,0712667690778931;0,0709345628657563;0,0792930539073259;0;0,0524201300234467
310850;850;85;"BOTUMIRIM";6350;0;0,267419026273127;0;0,0930758387060885;0,0372399930345042;0,117233294255569;0;0,0756772367476416;0,0017151617514532;0,176414624772394;0;0;0,243670370825731;0,116971407253663;0,15614750829957;0,297265160523188;0;3;"Dezembro";2020;0,206076057979943;0,0301796587959067;0,0532009221493173;0,0335785856826622;0;0,0197626400234467
310870;870;87;"BRÁS PIRES";4374;0;0,0379424613072191;0;0,131540913678624;0,0279603072615595;0,117233294255569;0,080292;0,133144919242668;0,00217504435151485;0,108909028558467;0,285551113649343;0;0;0,0615362757688723;0,178894877830028;0;0;2;"Dezembro";2020;0,0813077219737476;0,0207883193028813;0,0354672814328782;0,0231295643741676;0;0,0154224000234467
310855;855;774;"BRASILÂNDIA DE MINAS";16321;0;0,428180266842323;0,212194383893452;0,0105834813437119;0,086627577961052;0,117233294255569;0;0,0983236072712412;0,039712832959807;0;0;0;0;0,23946615634655;0,00607540704216948;0;0;4;"Dezembro";2020;0,00276127250066603;0,0775688521587391;0,0709345628657563;0,0863048971538156;0;0,0562949000234467
310860;860;86;"BRASÍLIA DE MINAS";32288;0;0,237600519019605;0,156835637804478;0,0105834813437119;0,0612564822349367;0,117233294255569;0;0,0616231915198102;0,0220942194203495;0;0;0;0;0,465505686878698;0;0,297265160523188;0,163084545027248;11;"Dezembro";2020;0,149947709055268;0,153455247748384;0,19507004788083;0,170737854255401;10,1171582466684;0,0600013300234467
310890;890;89;"BRASÓPOLIS";14508;0;0,0623688580875088;0,185164714058951;0,124473500025767;0,0746674127520072;0,117233294255569;0,000506;0,0856567035314385;0,0169036524674016;0,129610744730738;0,513992004568818;0;0;0,0755529471310703;0,184877916874144;0,326991676575507;0;5;"Dezembro";2020;0,232644730222866;0,0689522031198448;0,0886682035821954;0,0767178143439469;0;0,0368553200234467
310880;880;88;"BRAÚNAS";4835;0;0,0641173743155544;0;0;0,047639998897168;0,117233294255569;0;0,135087022450418;0,0186281621376519;0;0;0;0,407579204932733;0,0822783378485523;0,226439907205362;0,297265160523188;0;2;"Dezembro";2020;0,238023953282626;0,0229793150044423;0,0354672814328782;0,0255673168150664;0;0,0298097500234467
310900;900;90;"BRUMADINHO";39520;0;0,109082872051405;0,156960174692614;0,107598726994404;0,274809774228742;0,117233294255569;3,498492;0,22832954944387;0,507539463849721;0;0,171330668189606;0,148173041671759;0;0,124314177855139;0,260074414277738;0,297265160523188;0;15;"Dezembro";2020;0,253310836747021;0,187826789860509;0,266004610746586;0;0;0,412343410023447
310910;910;91;"BUENO BRANDÃO";11010;0;0,0605760324813646;0,146196246248349;0,221900325506493;0,097403187065281;0,117233294255569;0,036957;0,101980100568503;0,0249324071056309;0,0921676406974138;0,456881781838949;0;0;0,0969624773458772;0,0120863797729829;0,297265160523188;0;4;"Dezembro";2020;0,14060027506461;0,0523272509201469;0,0709345628657563;0,0582205084041119;0;0,0413677700234467
310920;920;92;"BUENÓPOLIS";10377;0;0,272988374258753;0,166550757247783;0,218460694069786;0,0816276055251137;0,117233294255569;0,001988;0,0936725226920343;0,00753265125657978;0,0532844172781924;0,456881781838949;0;0;0,082468969854145;1,44452977752604;0;0,0150421421636107;4;"Dezembro";2020;0,657907618822474;0,0493187904449014;0,0709345628657563;0,0548732257683441;0;0,0357152200234467
310925;925;775;"BUGRE";4074;0;0,0275433911088427;0;0,0105834813437119;0,0375037678365483;0,117233294255569;0;0,0887496910079883;0,00561443666199159;0;0;0;0;0,0231832979965982;0;0;0;2;"Dezembro";2020;0;0,0193625086511061;0,0354672814328782;0,0215431744993962;0;0,0146411800234467
310930;930;93;"BURITIS";24663;0;0,889580637810662;0,220373056498837;0,0105834813437119;0,110345989504862;0,117233294255569;0;0,0739176438525539;0,217006975887776;0;0;0,103168858515309;0;0,52711513953872;0;0;0;8;"Dezembro";2020;0;0,117215893682433;0,141869125731513;0;0;0,195405760023447
310940;940;94;"BURITIZEIRO";27988;0;1,23319986496547;0,149872022135452;0,0211669626874238;0,198346065668595;0,117233294255569;0;0,053588515252315;0,0893844722316982;0;0,456881781838949;0;0;0,787654700030308;0;0;0,055811471952689;10;"Dezembro";2020;0,0050788439476947;0,133018628406274;0,177336407164391;0,147999599383677;0;0,113213100023447
310945;945;776;"CABECEIRA GRANDE";6909;0;0,175959357257023;0,213974721240636;0,0326324008097783;0,0933976136202697;0,117233294255569;0;0,146123501900732;0,0959370404623087;0;0;0;0;0,14025025572132;0;0;0;2;"Dezembro";2020;0;0,032836419310381;0,0354672814328782;0,0365345588159863;0;0,0921581000234467
310950;950;95;"CABO VERDE";14075;0;0,0628715991082432;0,135947556452241;0,125825833753019;0,0997177560234295;0,117233294255569;1,2e-05;0,105064412963286;0,0448591452760081;0;0;0;0,0204855034978226;0,137125489161585;0;0;0;3;"Dezembro";2020;0;0,066894283079116;0,0532009221493173;0,0744281249580268;0;0,0544853500234467
310960;960;96;"CACHOEIRA DA PRATA";3616;0;0,0102917051668297;0,152880034112792;0,0352782711457063;0,0576159439477407;0,117233294255569;0,004575;0,167430300247803;0,00322075964505189;0;0;0;0;0,00407529675322704;0;0,297265160523188;0;1;"Dezembro";2020;0,135107015457789;0,0171857710560628;0,0177336407164391;0,0191212859572451;0;0,0181060700234467
310970;970;97;"CACHOEIRA DE MINAS";11514;0;0,0519561542343329;0,192265070472863;0,148227535930543;0,108918946331456;0,117233294255569;1,9e-05;0,103766643707877;0,0350325413104501;0,204496952797387;0,456881781838949;0;0;0,0615642316576733;0;0,326991676575507;0;4;"Dezembro";2020;0,148617717003568;0,0547226128151291;0,0709345628657563;0,0608856433937279;0;0,0492958400234467
310270;270;27;"CACHOEIRA DE PAJEÚ";9382;0;0,118300926902768;0,276503476331579;0,120710484436892;0,062754172215617;0,117233294255569;0;0,0527160567379609;0,0039221034691941;0,177134684465342;0;0;0;0,132559851637028;0,0606265805050312;0;0,485861106482718;5;"Dezembro";2020;0,071768141529464;0,0445898517831806;0,0886682035821954;0,0496116993503522;0;0,0254658000234467
310980;980;98;"CACHOEIRA DOURADA";2677;0;0,0345664275374741;0;0,132293516796399;0,0658667130193593;0,117233294255569;0;0,415230065011808;0,0904088156334489;0;0;0;0,367297381275871;0,0606145975503887;0;0;0;1;"Dezembro";2020;0;0,0127229837160067;0,0177336407164391;0;0;0,0833720600234467
310990;990;99;"CAETANÓPOLIS";11495;0;0,0265498385153236;0,19945543013413;0,116712280373712;0,105140042614678;0,117233294255569;0,004957;0,076421963924229;0,0194707596528282;0;0;0;0;0,0195402526099655;0;0;0;3;"Dezembro";2020;0;0,05463231147385;0,0532009221493173;0,0607851720349924;0;0,0339540000234467
311000;1000;100;"CAETÉ";44377;0;0,0924089122315238;0,205137726418402;0,368261052922242;0,287214056855954;0,117233294255569;0,003585;0,072476034693427;0,0956019342015928;0;0;0,133484992338714;0;0,0442234871607489;0,0831631806050271;0,297265160523188;0;10;"Dezembro";2020;0,172904681042774;0,210910664312748;0,177336407164391;0,234664078242441;0;0,112701640023447
311010;1010;101;"CAIANA";5450;0;0,0182469427423821;0,142148885864794;0,115148277019585;0,0267864024208311;0,117233294255569;0,022694;0,0966427414615171;0,0081189395674148;0,0496841188134496;0,316961736150771;0;0;0,0816227838825499;0;0;0;3;"Dezembro";2020;0;0,0259022268405813;0,0532009221493173;0,0288194160583478;0;0,0217989700234467
311020;1020;102;"CAJURI";4002;0;0,0141449168545597;0,155491384666646;0,0997493116644846;0,0422019825060663;0,117233294255569;0;0,14915683093068;0,0104282793427219;0;0;0;0;0,0619791649508247;0,191001662142683;0;0;2;"Dezembro";2020;0,0868102554438493;0,0190203140946801;0,0354672814328782;0,021162440929451;0;0,0241302700234467
311030;1030;103;"CALDAS";14417;0;0,121356569784723;0,163368454601579;0,153989653551008;0,194635048903323;0,117233294255569;0,25899;0,0919856309840337;0,0372147897177725;0,208817310955078;0;0;0;0,136316003100999;0,0395778333738847;0,326991676575507;0;5;"Dezembro";2020;0,166605842271998;0,0685197072221397;0,0886682035821954;0,0762366094152662;0;0,0543211300234467
311040;1040;104;"CAMACHO";2934;0;0,0378640677921215;0;0,0545637260386925;0,029708026713716;0,117233294255569;0,019434;0,15826789769141;0,00831722502708009;0;0;0;0;0,0491095798516777;0;0;0;2;"Dezembro";2020;0;0,0139444281743607;0,0354672814328782;0,0155148929752647;0;0,0176236900234467
311050;1050;105;"CAMANDUCAIA";21738;0;0,0899753048497996;0,234099318312959;0,147874753219086;0,382837744068271;0,117233294255569;0,004775;0,105805017077461;0,068284898264003;0;0;0;0;0,0663340361850992;0,45859874126592;0,297265160523188;0;5;"Dezembro";2020;0,34354014336315;0,103314239827625;0,0886682035821954;0,114949810325939;0;0,0859318100234467
311060;1060;106;"CAMBUÍ";29278;0;0,0415843513455557;0,157223682969334;0,148815507116305;0,235157077761699;0,117233294255569;4,4e-05;0,0931540677215567;0,160077075053544;0,0163813580145794;0,399771559109081;0;0;0,0408682562803639;0,00347909695644638;0,297265160523188;0;10;"Dezembro";2020;0,136688265024494;0,139149614208907;0,177336407164391;0,154821075845194;0;0,151222040023447
311070;1070;107;"CAMBUQUIRA";12816;0;0,0418280529250981;0,167630498588119;0,0984263764965206;0,116324692984707;0,117233294255569;0,014662;0,0831370528822109;0,0221028276459202;0,604850142076778;0;0;0;0,0673609472186054;0;0;0;4;"Dezembro";2020;0;0,0609106310438331;0,0709345628657563;0,067770575450236;0;0,0372612100234467
311080;1080;108;"CAMPANÁRIO";3711;0;0,0754639835225012;0;0,10936264055169;0,0276156669426784;0,117233294255569;0;0,107834752022732;0,00303155217096982;0;0,158480868075386;0;0;0,0682789311988746;0;0;0;2;"Dezembro";2020;0;0,0176372777624582;0,0354672814328782;0,0196236427509227;0;0,0146573800234467
311090;1090;109;"CAMPANHA";16565;0;0,0571318304376218;0;0,164614234080605;0,211784791851367;0,117233294255569;0;0,0949955579254957;0,0451322963820559;0;0;0;0;0,0416139730332676;0;0,297265160523188;0;5;"Dezembro";2020;0,135107015457789;0,0787285114888495;0,0886682035821954;0,0875951609186297;0;0,0560294900234467
311100;1100;110;"CAMPESTRE";21056;0;0,0983225100008398;0,243314182067821;0,0864317643069805;0,120231475100572;0,117233294255569;0;0,0659419488923363;0,0554627616177335;0;0;0;0;0,138766596029902;0,00496985934248154;0;0;5;"Dezembro";2020;0,00225880107115786;0,100072896945923;0,0886682035821954;0,111343417343958;0;0,0673133300234467
311110;1110;111;"CAMPINA VERDE";19738;0;0,622439397254077;0;0,0105834813437119;0,189275623317315;0,117233294255569;0;0;0,104224055267885;0,115929610564716;0;0;0,237837109963235;0,489445497476914;0,00543696278158447;0,297265160523188;0;5;"Dezembro";2020;0,137578115042019;0,0938088354824577;0,0886682035821954;0,104373877827462;0;0,109401270023447
311115;1115;777;"CAMPO AZUL";3810;0;0,0869776050007429;0,152858256717929;0;0,0228983537215797;0,117233294255569;0;0,0962995211909296;0,00133362521608784;0;0;0;0;0,137146126668352;0;0;0,477626981347206;2;"Dezembro";2020;0,0434640553025957;0,018107795277544;0,0354672814328782;0,0201471514095973;0;0,0163003000234467
311120;1120;112;"CAMPO BELO";53866;0;0,0899650796086999;0,198781083558685;0,191455177507748;0,174746468322547;0,117233294255569;0,019929;0,0642790399413196;0,0911318222653687;1,13031370300598;0,369788692175899;0,326427208377593;0,0739167593418425;0,144951010493256;0;0,297265160523188;0;16;"Dezembro";2020;0,135107015457789;0,256009055228395;0,283738251463025;0,284841589981461;0;0,112040570023447
311130;1130;113;"CAMPO DO MEIO";11658;0;0,0467123097570461;0,181066471726676;0,177296831354605;0,0867059175590613;0,117233294255569;0;0,127095345459183;0,0328640171794615;0;0;0;0,400628859388825;0,0915710023287957;0;0;0;5;"Dezembro";2020;0;0,0554070019279812;0,0886682035821954;0,0616471105336182;0;0,0467277700234467
311140;1140;114;"CAMPO FLORIDO";8029;0;0,216159892640422;0;0,116559407865414;0,157888328896676;0,117233294255569;0;0,211594345470943;0,177258113663563;0;0;0;0;0,193863209112126;0;0,326991676575507;0;2;"Dezembro";2020;0,148617717003568;0,0381594457436748;0,0354672814328782;0,042457081015133;0;0,154550560023447
311150;1150;115;"CAMPOS ALTOS";15356;0;0,12080099835164;0,165908311251527;0,217843324324737;0,138435150117798;0,117233294255569;0,004266;0,136508841599456;0,104941382158001;0;0;0;0;0,0936593965553232;0,046025416728293;0,297265160523188;0;4;"Dezembro";2020;0,156025567360798;0,0729824945621958;0,0709345628657563;0;0;0,101187010023447
311160;1160;116;"CAMPOS GERAIS";28703;0;0,131275053651414;0;0;0,132463536012238;0,117233294255569;0;0,0706309280057322;0,0980438806116614;0;0;0,162038560242153;0,408865301779005;0,221334375524572;0;0,297265160523188;0;7;"Dezembro";2020;0,135107015457789;0,136416810459671;0,124135485015074;0,151780495251882;0;0,100608650023447
